depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1899ad7268e4e76d21b6a04061e17cec847a111b,call,Unresolved_022c0d9f,1849386,44370,1805016
8,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0xca1154bbd62c21868a358f9f782b90d69af600b0,call,transfer,1809754,10740,1799014
8,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,balanceOf,1798581,1663,1796918
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1770239,308,1769931
9,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,balanceOf,1769573,702,1768871
8,0x1899ad7268e4e76d21b6a04061e17cec847a111b,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1796538,644,1795894
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1805181,644,1804537
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1833796,644,1833152
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1861317,644,1860673
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,call,Unresolved_3694313d,1857721,70680,1787041
6,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x2d2d83afe241c1ca57fec3eb9c4f4786f1e0ca31,staticcall,implementation,1825994,2308,1823686
6,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x0a7734281725f534f83d1bc9d91c40b1e80618cc,delegatecall,Unresolved_3694313d,1820898,62722,1758176
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1783206,644,1782562
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x8687975d5008e0f12e7ebf024c3f0b658e11a5ff,staticcall,protocolFees,1777506,2303,1775203
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_67601155,1772321,2351,1769970
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_0389ed17,1769661,2285,1767376
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x8687975d5008e0f12e7ebf024c3f0b658e11a5ff,staticcall,protocolFees,1766872,303,1766569
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_3c9a0700,1766161,229,1765932
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x8687975d5008e0f12e7ebf024c3f0b658e11a5ff,staticcall,protocolFees,1765026,303,1764723
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_67601155,1764271,351,1763920
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_0389ed17,1763579,285,1763294
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x8687975d5008e0f12e7ebf024c3f0b658e11a5ff,staticcall,protocolFees,1762779,303,1762476
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x26f6bfe6d5a10db4399fa105562cae7a5fa216c7,staticcall,Unresolved_3c9a0700,1762068,229,1761839
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0x9de8aa7743660e73a481e5647e75050da9504533,staticcall,Unresolved_8da5cb5b,1756596,2320,1754276
7,0x1ff3fdd052edc3dd83673e2d8165da6fb1b184c1,0xca1154bbd62c21868a358f9f782b90d69af600b0,call,transfer,1753579,7940,1745639
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xca1154bbd62c21868a358f9f782b90d69af600b0,call,Unresolved_6e553f65,1846774,210770,1636004
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_22bbc2d2,1800842,9603,1791239
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_22bbc2d2,1785031,1603,1783428
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x4e8d33ebd2470958be5af47b2a35cbd9f428e888,staticcall,getNewRate,1778142,2159,1775983
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,transferFrom,1720065,11349,1708716
5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,transferFrom,1692450,10554,1681896
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,call,Unresolved_3c367282,1707552,25281,1682271
5,0x3717e340140d30f3a077dd21fac39a86ace873aa,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,convertToAssets,1675919,2377,1673542
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_9d6c6351,1682331,572,1681759
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,totalAssets,1681273,316,1680957
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_9cfd2f2e,1680474,325,1680149
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_37082c15,1679523,573,1678950
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,approve,1675150,25462,1649688
5,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,approve,1648243,24673,1623570
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,call,Unresolved_61325e18,1649432,25595,1623837
5,0x3717e340140d30f3a077dd21fac39a86ace873aa,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,convertToAssets,1622772,2377,1620395
5,0x3717e340140d30f3a077dd21fac39a86ace873aa,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,transferFrom,1611217,11349,1599868
6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,transferFrom,1585303,10554,1574749
4,0xca1154bbd62c21868a358f9f782b90d69af600b0,0x3717e340140d30f3a077dd21fac39a86ace873aa,staticcall,Unresolved_22bbc2d2,1623184,1603,1621581
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0xca1154bbd62c21868a358f9f782b90d69af600b0,call,transfer,1638657,3140,1635517
3,0x80bf7db69556d9521c03461978b8fc731dbbd4e4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,transfer,1634923,13035,1621888
4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1609139,308,1608831
4,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,transfer,1608469,12071,1596398
